ticket_id,status,updated_at,source
TKT0545,pending,2023-12-25 23:00:00,helpdesk
TKT0104,resolved,2024-06-27 22:00:00,helpdesk
TKT0957,resolved,2023-08-18 11:00:00,helpdesk
TKT0232,resolved,2024-02-20 21:00:00,helpdesk
TKT0904,resolved,2024-08-28 12:00:00,helpdesk
TKT0636,pending,2024-12-26 23:00:00,helpdesk
TKT0717,resolved,2023-07-28 11:00:00,helpdesk
TKT0734,open,2023-01-28 16:00:00,helpdesk
TKT0415,resolved,2024-05-12 18:00:00,helpdesk
TKT0402,pending,2023-04-29 06:00:00,helpdesk
TKT0403,resolved,2023-09-20 20:00:00,helpdesk
TKT0935,pending,2024-05-18 20:00:00,helpdesk
TKT0226,pending,2023-07-20 15:00:00,helpdesk
TKT0752,open,2023-02-08 04:00:00,helpdesk
TKT0844,open,2023-04-04 07:00:00,helpdesk
TKT0901,pending,2023-02-05 03:00:00,helpdesk
TKT0709,resolved,2024-04-25 13:00:00,helpdesk
TKT0275,resolved,2023-08-12 14:00:00,helpdesk
TKT0508,open,2024-07-28 20:00:00,helpdesk
TKT0211,resolved,2023-02-02 11:00:00,helpdesk
TKT0176,resolved,2024-10-19 04:00:00,helpdesk
TKT0805,open,2024-03-08 16:00:00,helpdesk
TKT0209,pending,2023-02-26 22:00:00,helpdesk
TKT0356,pending,2024-11-01 08:00:00,helpdesk
TKT0653,open,2024-07-10 12:00:00,helpdesk
TKT0295,pending,2023-07-03 11:00:00,helpdesk
TKT0723,pending,2023-06-16 21:00:00,helpdesk
TKT0611,pending,2024-06-26 04:00:00,helpdesk
TKT0911,pending,2023-12-21 03:00:00,helpdesk
TKT0923,pending,2024-05-14 03:00:00,helpdesk
TKT0004,pending,2024-01-25 11:00:00,helpdesk
TKT0097,open,2023-06-24 09:00:00,helpdesk
TKT0190,pending,2023-07-15 03:00:00,helpdesk
TKT0516,resolved,2024-09-03 22:00:00,helpdesk
TKT0718,pending,2024-06-22 19:00:00,helpdesk
TKT0638,resolved,2024-06-30 19:00:00,helpdesk
TKT0489,pending,2024-11-05 21:00:00,helpdesk
TKT0757,open,2024-03-08 18:00:00,helpdesk
TKT0313,open,2024-05-06 20:00:00,helpdesk
TKT0874,pending,2024-11-29 12:00:00,helpdesk
TKT0705,pending,2023-02-20 14:00:00,helpdesk
TKT0938,open,2023-11-06 03:00:00,helpdesk
TKT0175,open,2024-08-30 02:00:00,helpdesk
TKT0323,open,2023-09-01 20:00:00,helpdesk
TKT0986,resolved,2023-04-22 09:00:00,helpdesk
TKT0072,open,2024-12-15 06:00:00,helpdesk
TKT0171,resolved,2023-03-09 16:00:00,helpdesk
TKT0996,resolved,2023-01-17 12:00:00,helpdesk
TKT0341,open,2023-02-09 21:00:00,helpdesk
TKT0467,resolved,2024-06-20 12:00:00,helpdesk
TKT0146,pending,2023-02-14 21:00:00,helpdesk
TKT0014,pending,2023-06-12 00:00:00,helpdesk
TKT0683,open,2023-02-18 16:00:00,helpdesk
TKT0486,open,2024-07-26 10:00:00,helpdesk
TKT0439,open,2024-08-14 14:00:00,helpdesk
TKT0343,pending,2024-09-12 00:00:00,helpdesk
TKT0022,open,2023-03-04 21:00:00,helpdesk
TKT0182,pending,2024-08-20 20:00:00,helpdesk
TKT0271,open,2024-06-11 05:00:00,helpdesk
TKT0079,resolved,2024-09-02 04:00:00,helpdesk
TKT0894,resolved,2023-02-23 05:00:00,helpdesk
TKT0696,pending,2023-11-12 08:00:00,helpdesk
TKT0779,resolved,2024-04-01 07:00:00,helpdesk
TKT0010,resolved,2024-02-11 03:00:00,helpdesk
TKT0958,pending,2023-07-02 15:00:00,helpdesk
TKT0989,resolved,2024-04-29 13:00:00,helpdesk
TKT0883,resolved,2023-08-27 10:00:00,helpdesk
TKT0598,open,2023-01-04 17:00:00,helpdesk
TKT0002,resolved,2023-02-02 02:00:00,helpdesk
TKT0501,pending,2023-12-31 11:00:00,helpdesk
TKT0254,open,2024-02-06 00:00:00,helpdesk
TKT0484,resolved,2023-03-03 12:00:00,helpdesk
TKT0113,pending,2024-09-02 10:00:00,helpdesk
TKT0047,resolved,2024-04-11 14:00:00,helpdesk
TKT0839,resolved,2023-01-11 11:00:00,helpdesk
TKT0018,resolved,2024-12-31 17:00:00,helpdesk
TKT0581,resolved,2023-03-26 05:00:00,helpdesk
TKT0697,open,2023-11-14 02:00:00,helpdesk
TKT0298,pending,2024-09-29 16:00:00,helpdesk
TKT0856,open,2023-06-28 00:00:00,helpdesk
TKT0234,pending,2024-08-02 12:00:00,helpdesk
TKT0538,resolved,2024-11-15 03:00:00,helpdesk
TKT0903,open,2024-12-05 06:00:00,helpdesk
TKT0172,pending,2024-10-19 05:00:00,helpdesk
TKT0774,resolved,2024-01-27 18:00:00,helpdesk
TKT0151,resolved,2023-11-23 11:00:00,helpdesk
TKT0794,pending,2024-06-29 17:00:00,helpdesk
TKT0905,resolved,2024-02-14 19:00:00,helpdesk
TKT0103,resolved,2024-08-16 13:00:00,helpdesk
TKT0312,pending,2023-10-14 20:00:00,helpdesk
TKT0824,resolved,2024-04-30 15:00:00,helpdesk
TKT0754,pending,2024-12-18 15:00:00,helpdesk
TKT0344,pending,2023-03-09 18:00:00,helpdesk
TKT0990,pending,2023-10-08 21:00:00,helpdesk
TKT0503,resolved,2023-02-09 02:00:00,helpdesk
TKT0753,pending,2024-11-29 04:00:00,helpdesk
TKT0360,pending,2023-08-03 15:00:00,helpdesk
TKT0559,resolved,2023-11-16 20:00:00,helpdesk
TKT0264,pending,2023-05-24 12:00:00,helpdesk
TKT0680,open,2024-08-04 17:00:00,helpdesk
TKT0499,open,2024-02-11 03:00:00,helpdesk
TKT0260,open,2023-07-21 16:00:00,helpdesk
TKT0374,pending,2024-02-14 16:00:00,helpdesk
TKT0470,resolved,2024-06-21 04:00:00,helpdesk
TKT0885,resolved,2024-02-02 17:00:00,helpdesk
TKT0362,pending,2024-10-04 03:00:00,helpdesk
TKT0309,open,2024-10-23 17:00:00,helpdesk
TKT0728,pending,2023-10-31 01:00:00,helpdesk
TKT0975,resolved,2023-11-13 02:00:00,helpdesk
TKT0531,open,2024-02-07 23:00:00,helpdesk
TKT0850,resolved,2023-01-19 21:00:00,helpdesk
TKT0837,open,2024-01-13 04:00:00,helpdesk
TKT0909,resolved,2024-01-22 13:00:00,helpdesk
TKT0496,pending,2024-12-20 22:00:00,helpdesk
TKT0116,open,2024-09-21 07:00:00,helpdesk
TKT0277,open,2024-03-14 14:00:00,helpdesk
TKT0703,resolved,2023-09-24 08:00:00,helpdesk
TKT0953,pending,2024-07-10 09:00:00,helpdesk
TKT0746,pending,2023-04-24 07:00:00,helpdesk
TKT0656,open,2023-03-20 08:00:00,helpdesk
TKT0880,resolved,2023-04-29 23:00:00,helpdesk
TKT0152,pending,2024-04-05 00:00:00,helpdesk
TKT0421,open,2024-09-21 01:00:00,helpdesk
TKT0924,pending,2024-07-03 11:00:00,helpdesk
TKT0676,resolved,2024-06-02 10:00:00,helpdesk
TKT0886,open,2023-01-10 19:00:00,helpdesk
TKT0366,pending,2024-11-08 04:00:00,helpdesk
TKT0510,pending,2024-09-30 06:00:00,helpdesk
TKT0032,open,2023-05-18 09:00:00,helpdesk
TKT0251,open,2024-07-01 17:00:00,helpdesk
TKT0592,resolved,2023-04-25 05:00:00,helpdesk
TKT0759,pending,2023-10-20 06:00:00,helpdesk
TKT0713,open,2023-11-17 07:00:00,helpdesk
TKT0977,open,2023-10-25 14:00:00,helpdesk
TKT0369,resolved,2023-09-27 20:00:00,helpdesk
TKT0212,open,2024-12-01 07:00:00,helpdesk
