ticket_id,customer_id,agent_id,region,department,priority,status,created_at,first_response_at,resolved_at,source
TKT0022,CUST0098,AGT018,WEST,TECHNICAL,urgent,open,2023-03-04 12:00:00,2023-03-04 13:36:00,2023-03-05 03:00:00,helpdesk
TKT0023,CUST0282,AGT004,NORTHEAST,SHIPPING,low,open,2024-04-18 07:00:00,2024-04-18 07:29:00,2024-04-20 17:00:00,crm
TKT0024,CUST0206,AGT029,NORTHEAST,TECHNICAL,urgent,open,2023-06-20 13:00:00,2023-06-20 15:14:00,2023-06-23 04:00:00,helpdesk
TKT0025,CUST0285,AGT022,northeast,ACCOUNT,medium,open,2023-09-29 14:00:00,2023-09-29 15:23:00,2023-10-01 22:00:00,helpdesk
TKT0026,CUST0161,AGT002,NORTHEAST,SHIPPING,urgent,pending,2023-08-11 01:00:00,2023-08-11 03:38:00,2023-08-15 01:00:00,crm
TKT0027,CUST0035,AGT022,southeast,TECHNICAL,urgent,open,2023-02-28 16:00:00,2023-02-28 16:30:00,,crm
TKT0028,CUST0299,AGT019,SOUTHWEST,RETURNS,high,open,2024-08-15 19:00:00,2024-08-15 19:20:00,,helpdesk
TKT0029,CUST0154,AGT015,MIDWEST,BILLING,low,resolved,2023-09-02 08:00:00,2023-09-02 09:51:00,2023-09-03 02:00:00,crm
TKT0030,CUST0179,AGT029,NORTHEAST,TECHNICAL,high,resolved,2023-03-17 17:00:00,2023-03-17 18:04:00,2023-03-20 11:00:00,crm
TKT0031,CUST0271,AGT001,northeast,SHIPPING,high,pending,2024-03-24 17:00:00,2024-03-24 18:27:00,2024-03-28 01:00:00,crm
TKT0032,CUST0080,AGT009,MIDWEST,SHIPPING,medium,pending,2023-05-18 08:00:00,2023-05-18 08:39:00,2023-05-18 23:00:00,helpdesk
TKT0033,CUST0129,AGT029,southeast,BILLING,low,pending,2023-07-28 21:00:00,2023-07-28 23:52:00,2023-07-30 08:00:00,helpdesk
TKT0034,CUST0135,AGT006,northeast,ACCOUNT,urgent,pending,2023-10-11 01:00:00,2023-10-11 01:10:00,2023-10-12 21:00:00,crm
TKT0035,CUST0190,AGT019,SOUTHWEST,TECHNICAL,urgent,open,2023-04-25 02:00:00,2023-04-25 02:48:00,,crm
TKT0036,CUST0128,AGT022,NORTHEAST,RETURNS,urgent,pending,2023-11-12 11:00:00,2023-11-12 11:20:00,2023-11-14 10:00:00,crm
TKT0037,CUST0171,AGT026,WEST,TECHNICAL,high,open,2023-08-31 05:00:00,2023-08-31 05:55:00,,crm
TKT0038,CUST0236,AGT012,MIDWEST,TECHNICAL,medium,open,2024-01-27 01:00:00,2024-01-27 03:10:00,2024-01-28 07:00:00,crm
TKT0039,CUST0143,AGT012,northeast,SHIPPING,urgent,pending,2024-02-13 10:00:00,2024-02-13 11:21:00,2024-02-13 20:00:00,helpdesk
TKT0040,CUST0136,AGT002,NORTHEAST,SHIPPING,urgent,resolved,2023-01-29 03:00:00,2023-01-29 04:16:00,2023-01-30 03:00:00,helpdesk
TKT0041,CUST0296,AGT007,MIDWEST,BILLING,urgent,open,2024-03-22 19:00:00,2024-03-22 21:20:00,2024-03-23 11:00:00,crm
TKT0042,CUST0161,AGT022,southeast,BILLING,high,pending,2024-01-08 13:00:00,2024-01-08 13:27:00,2024-01-12 04:00:00,helpdesk
TKT0043,CUST0284,AGT005,SOUTHEAST,ACCOUNT,urgent,pending,2024-11-13 13:00:00,2024-11-13 14:33:00,2024-11-15 18:00:00,crm
TKT0044,CUST0001,AGT010,MIDWEST,TECHNICAL,urgent,pending,2024-09-22 18:00:00,2024-09-22 19:27:00,2024-09-24 23:00:00,helpdesk
TKT0045,CUST0243,AGT026,southeast,TECHNICAL,low,resolved,2024-04-21 14:00:00,2024-04-21 16:03:00,2024-04-25 06:00:00,helpdesk
TKT0046,CUST0076,AGT001,NORTHEAST,TECHNICAL,urgent,pending,2023-04-06 07:00:00,2023-04-06 08:29:00,2023-04-07 13:00:00,crm
TKT0047,CUST0197,AGT016,WEST,TECHNICAL,medium,pending,2024-04-11 13:00:00,2024-04-11 15:51:00,2024-04-14 16:00:00,crm
TKT0048,CUST0266,AGT015,NORTHEAST,SHIPPING,medium,open,2023-04-20 13:00:00,2023-04-20 14:06:00,2023-04-21 13:00:00,helpdesk
TKT0049,CUST0163,AGT025,WEST,SHIPPING,urgent,pending,2023-05-17 14:00:00,2023-05-17 17:00:00,2023-05-20 11:00:00,helpdesk
TKT0050,CUST0127,AGT027,northeast,RETURNS,urgent,pending,2023-06-12 23:00:00,2023-06-13 01:11:00,2023-06-15 10:00:00,crm
TKT0051,CUST0140,AGT011,MIDWEST,SHIPPING,low,open,2023-10-09 14:00:00,2023-10-09 14:29:00,2023-10-13 11:00:00,crm
TKT0052,CUST0213,AGT014,MIDWEST,SHIPPING,urgent,resolved,2023-08-25 12:00:00,2023-08-25 12:49:00,2023-08-29 08:00:00,crm
TKT0053,CUST0011,AGT028,southeast,SHIPPING,urgent,resolved,2023-07-31 13:00:00,2023-07-31 14:49:00,2023-08-03 17:00:00,crm
TKT0054,CUST0280,AGT026,SOUTHWEST,TECHNICAL,urgent,open,2023-12-27 09:00:00,2023-12-27 10:49:00,2023-12-29 16:00:00,helpdesk
TKT0055,CUST0208,AGT024,SOUTHEAST,ACCOUNT,medium,pending,2024-03-22 15:00:00,2024-03-22 15:17:00,2024-03-24 18:00:00,crm
TKT0056,CUST0220,AGT005,southeast,ACCOUNT,medium,open,2024-02-08 18:00:00,2024-02-08 20:34:00,,helpdesk
TKT0057,CUST0195,AGT009,southeast,ACCOUNT,high,open,2024-01-24 10:00:00,2024-01-24 11:04:00,2024-01-26 22:00:00,helpdesk
TKT0058,CUST0180,AGT008,northeast,BILLING,low,open,2023-01-20 23:00:00,2023-01-21 01:28:00,2023-01-21 07:00:00,crm
TKT0059,CUST0243,AGT022,NORTHEAST,SHIPPING,medium,resolved,2023-07-24 00:00:00,2023-07-24 02:49:00,2023-07-24 21:00:00,helpdesk
TKT0060,CUST0059,AGT025,southeast,TECHNICAL,high,open,2024-01-13 05:00:00,2024-01-13 07:45:00,2024-01-16 12:00:00,crm
TKT0061,CUST0102,AGT003,SOUTHWEST,TECHNICAL,low,pending,2023-11-16 18:00:00,2023-11-16 19:46:00,2023-11-18 22:00:00,helpdesk
TKT0062,CUST0178,AGT018,WEST,RETURNS,low,pending,2024-12-01 19:00:00,2024-12-01 19:40:00,2024-12-04 21:00:00,helpdesk
TKT0063,CUST0186,AGT021,southeast,ACCOUNT,medium,resolved,2023-01-13 13:00:00,2023-01-13 15:15:00,2023-01-14 04:00:00,crm
TKT0064,CUST0276,AGT025,WEST,ACCOUNT,urgent,pending,2024-06-18 20:00:00,2024-06-18 21:19:00,2024-06-22 04:00:00,helpdesk
TKT0065,CUST0125,AGT025,WEST,SHIPPING,urgent,resolved,2023-11-27 07:00:00,2023-11-27 07:32:00,2023-11-28 20:00:00,crm
TKT0066,CUST0133,AGT011,MIDWEST,SHIPPING,high,pending,2024-05-21 10:00:00,2024-05-21 10:56:00,2024-05-24 02:00:00,crm
TKT0067,CUST0251,AGT018,southeast,TECHNICAL,urgent,pending,2024-06-13 06:00:00,2024-06-13 06:31:00,2024-06-14 14:00:00,helpdesk
TKT0068,CUST0125,AGT010,northeast,SHIPPING,high,resolved,2024-04-03 00:00:00,2024-04-03 00:33:00,2024-04-04 15:00:00,helpdesk
TKT0069,CUST0233,AGT009,MIDWEST,RETURNS,medium,open,2024-03-11 23:00:00,2024-03-12 01:30:00,2024-03-13 19:00:00,crm
TKT0070,CUST0111,AGT024,WEST,RETURNS,high,open,2023-11-20 03:00:00,2023-11-20 05:27:00,2023-11-23 21:00:00,crm
TKT0071,CUST0274,AGT005,MIDWEST,BILLING,low,pending,2023-10-31 07:00:00,2023-10-31 08:42:00,2023-11-01 07:00:00,helpdesk
TKT0072,CUST0007,AGT019,MIDWEST,ACCOUNT,urgent,resolved,2024-12-15 04:00:00,2024-12-15 06:53:00,2024-12-17 20:00:00,helpdesk
TKT0073,CUST0034,AGT013,WEST,BILLING,low,open,2023-07-08 01:00:00,2023-07-08 02:14:00,2023-07-10 16:00:00,crm
TKT0074,CUST0214,AGT020,SOUTHWEST,SHIPPING,medium,pending,2024-07-30 09:00:00,2024-07-30 09:31:00,2024-07-31 18:00:00,helpdesk
TKT0075,CUST0157,AGT019,SOUTHWEST,BILLING,low,open,2024-04-06 14:00:00,2024-04-06 15:26:00,2024-04-09 19:00:00,crm
TKT0076,CUST0283,AGT003,SOUTHEAST,BILLING,urgent,resolved,2023-09-28 21:00:00,2023-09-28 21:30:00,2023-09-29 19:00:00,helpdesk
TKT0077,CUST0233,AGT003,northeast,TECHNICAL,high,pending,2023-10-26 01:00:00,2023-10-26 02:09:00,2023-10-27 15:00:00,crm
TKT0078,CUST0137,AGT027,SOUTHEAST,BILLING,low,open,2024-03-11 03:00:00,2024-03-11 05:29:00,2024-03-12 09:00:00,helpdesk
TKT0079,CUST0240,AGT023,MIDWEST,ACCOUNT,high,pending,2024-09-01 23:00:00,2024-09-02 01:35:00,2024-09-03 13:00:00,helpdesk
TKT0080,CUST0166,AGT020,MIDWEST,BILLING,low,open,2024-03-24 02:00:00,2024-03-24 04:43:00,2024-03-24 09:00:00,crm
TKT0081,CUST0090,AGT016,SOUTHWEST,ACCOUNT,high,open,2024-11-19 08:00:00,2024-11-19 10:37:00,2024-11-19 15:00:00,helpdesk
TKT0082,CUST0171,AGT011,northeast,BILLING,medium,resolved,2024-10-12 15:00:00,2024-10-12 15:33:00,2024-10-15 05:00:00,helpdesk
TKT0083,CUST0282,AGT002,WEST,BILLING,high,resolved,2024-12-11 15:00:00,2024-12-11 16:23:00,2024-12-15 05:00:00,helpdesk
TKT0084,CUST0278,AGT015,WEST,BILLING,medium,pending,2023-04-29 12:00:00,2023-04-29 14:21:00,2023-04-29 14:00:00,helpdesk
TKT0085,CUST0105,AGT009,SOUTHWEST,TECHNICAL,high,resolved,2024-09-29 15:00:00,2024-09-29 17:50:00,2024-10-02 01:00:00,helpdesk
TKT0086,CUST0082,AGT010,SOUTHWEST,BILLING,urgent,open,2023-05-05 00:00:00,2023-05-05 02:51:00,2023-05-08 07:00:00,crm
TKT0087,CUST0256,AGT030,northeast,RETURNS,high,resolved,2023-04-27 14:00:00,2023-04-27 14:40:00,2023-05-01 02:00:00,helpdesk
TKT0088,CUST0098,AGT030,SOUTHWEST,SHIPPING,medium,open,2024-04-28 07:00:00,2024-04-28 09:06:00,2024-05-01 07:00:00,helpdesk
TKT0089,CUST0145,AGT024,MIDWEST,SHIPPING,urgent,open,2024-02-29 10:00:00,2024-02-29 12:19:00,2024-03-01 22:00:00,helpdesk
TKT0090,CUST0279,AGT013,WEST,RETURNS,medium,pending,2024-07-05 15:00:00,2024-07-05 16:38:00,2024-07-07 11:00:00,crm
TKT0091,CUST0243,AGT023,southeast,ACCOUNT,urgent,pending,2024-08-08 12:00:00,2024-08-08 13:09:00,,crm
TKT0092,CUST0170,AGT028,NORTHEAST,ACCOUNT,low,pending,2024-05-22 01:00:00,2024-05-22 01:42:00,2024-05-24 19:00:00,helpdesk
TKT0093,CUST0080,AGT003,WEST,RETURNS,high,pending,2023-01-16 23:00:00,2023-01-16 23:46:00,2023-01-19 05:00:00,helpdesk
TKT0094,CUST0195,AGT011,northeast,ACCOUNT,low,pending,2024-10-27 02:00:00,2024-10-27 03:34:00,2024-10-30 18:00:00,crm
TKT0095,CUST0223,AGT004,southeast,BILLING,urgent,open,2023-08-29 20:00:00,2023-08-29 21:23:00,2023-08-31 03:00:00,helpdesk
TKT0096,CUST0192,AGT014,SOUTHEAST,TECHNICAL,urgent,pending,2023-01-30 01:00:00,2023-01-30 02:33:00,2023-01-30 10:00:00,crm
TKT0097,CUST0124,AGT016,SOUTHWEST,TECHNICAL,medium,resolved,2023-06-24 05:00:00,2023-06-24 05:30:00,2023-06-27 13:00:00,helpdesk
TKT0098,CUST0239,AGT029,MIDWEST,SHIPPING,medium,open,2024-04-15 08:00:00,2024-04-15 11:00:00,2024-04-15 11:00:00,helpdesk
TKT0099,CUST0129,AGT015,southeast,RETURNS,medium,resolved,2023-12-20 18:00:00,2023-12-20 19:26:00,2023-12-24 05:00:00,helpdesk
TKT0100,CUST0152,AGT023,MIDWEST,BILLING,urgent,resolved,2023-04-20 07:00:00,2023-04-20 08:47:00,2023-04-23 10:00:00,crm
TKT0101,CUST0147,AGT025,southeast,TECHNICAL,high,open,2024-08-02 21:00:00,2024-08-02 21:22:00,2024-08-06 04:00:00,crm
TKT0102,CUST0050,AGT029,northeast,BILLING,high,resolved,2024-09-27 08:00:00,2024-09-27 10:58:00,2024-10-01 01:00:00,crm
TKT0103,CUST0168,AGT024,WEST,TECHNICAL,medium,open,2024-08-16 11:00:00,2024-08-16 11:43:00,2024-08-17 00:00:00,helpdesk
TKT0104,CUST0247,AGT026,MIDWEST,RETURNS,low,resolved,2024-06-27 16:00:00,2024-06-27 17:19:00,2024-06-28 15:00:00,crm
TKT0105,CUST0203,AGT001,MIDWEST,SHIPPING,low,resolved,2023-05-25 07:00:00,2023-05-25 08:51:00,2023-05-28 08:00:00,helpdesk
TKT0106,CUST0191,AGT004,northeast,TECHNICAL,urgent,open,2024-11-19 23:00:00,2024-11-20 00:17:00,2024-11-23 03:00:00,helpdesk
TKT0107,CUST0238,AGT030,northeast,RETURNS,urgent,open,2024-09-16 07:00:00,2024-09-16 09:55:00,2024-09-16 17:00:00,crm
TKT0108,CUST0121,AGT029,SOUTHWEST,TECHNICAL,urgent,resolved,2023-02-16 01:00:00,2023-02-16 02:27:00,2023-02-18 18:00:00,helpdesk
TKT0109,CUST0080,AGT029,WEST,BILLING,urgent,pending,2024-11-17 23:00:00,2024-11-18 01:28:00,2024-11-20 06:00:00,helpdesk
TKT0110,CUST0121,AGT028,MIDWEST,BILLING,high,pending,2023-10-14 01:00:00,2023-10-14 02:44:00,2023-10-15 06:00:00,helpdesk
TKT0111,CUST0233,AGT003,northeast,TECHNICAL,low,open,2023-03-04 12:00:00,2023-03-04 13:20:00,2023-03-05 14:00:00,helpdesk
TKT0112,CUST0284,AGT007,SOUTHWEST,TECHNICAL,medium,resolved,2023-09-07 04:00:00,2023-09-07 06:34:00,,crm
TKT0113,CUST0277,AGT009,southeast,TECHNICAL,low,pending,2024-09-02 00:00:00,2024-09-02 01:20:00,2024-09-02 20:00:00,crm
TKT0114,CUST0009,AGT006,MIDWEST,BILLING,medium,pending,2023-05-15 00:00:00,2023-05-15 01:41:00,2023-05-16 08:00:00,helpdesk
TKT0115,CUST0186,AGT017,SOUTHWEST,BILLING,urgent,pending,2024-06-22 03:00:00,2024-06-22 03:26:00,2024-06-24 17:00:00,crm
TKT0116,CUST0016,AGT002,WEST,ACCOUNT,urgent,pending,2024-09-21 01:00:00,2024-09-21 03:58:00,2024-09-23 21:00:00,crm
TKT0117,CUST0165,AGT020,SOUTHEAST,BILLING,medium,resolved,2024-05-17 22:00:00,2024-05-18 00:03:00,2024-05-18 09:00:00,helpdesk
TKT0118,CUST0221,AGT004,southeast,BILLING,medium,resolved,2024-01-26 19:00:00,2024-01-26 21:25:00,2024-01-28 10:00:00,helpdesk
TKT0119,CUST0049,AGT011,WEST,RETURNS,high,resolved,2023-08-22 13:00:00,2023-08-22 14:36:00,2023-08-25 01:00:00,crm
TKT0120,CUST0048,AGT014,NORTHEAST,RETURNS,medium,pending,2024-12-04 15:00:00,2024-12-04 15:27:00,2024-12-05 04:00:00,crm
TKT0121,CUST0211,AGT012,southeast,ACCOUNT,low,resolved,2024-08-23 17:00:00,2024-08-23 19:33:00,2024-08-25 13:00:00,helpdesk
TKT0122,CUST0247,AGT008,southeast,BILLING,high,pending,2023-12-27 03:00:00,2023-12-27 05:37:00,2023-12-29 21:00:00,helpdesk
TKT0123,CUST0288,AGT025,southeast,SHIPPING,low,pending,2023-04-28 08:00:00,2023-04-28 10:36:00,2023-04-29 14:00:00,helpdesk
TKT0124,CUST0174,AGT012,NORTHEAST,TECHNICAL,medium,pending,2023-01-30 05:00:00,2023-01-30 06:19:00,2023-02-03 00:00:00,helpdesk
TKT0125,CUST0272,AGT007,WEST,ACCOUNT,urgent,resolved,2023-03-13 04:00:00,2023-03-13 06:52:00,,crm
TKT0126,CUST0027,AGT005,SOUTHEAST,SHIPPING,low,pending,2024-01-14 09:00:00,2024-01-14 10:33:00,2024-01-17 11:00:00,crm
TKT0127,CUST0227,AGT014,MIDWEST,TECHNICAL,low,resolved,2023-10-06 14:00:00,2023-10-06 16:59:00,2023-10-08 22:00:00,helpdesk
TKT0128,CUST0158,AGT002,SOUTHEAST,ACCOUNT,low,open,2023-04-24 09:00:00,2023-04-24 11:41:00,2023-04-27 01:00:00,crm
TKT0129,CUST0062,AGT001,WEST,ACCOUNT,medium,open,2023-11-05 06:00:00,2023-11-05 06:45:00,2023-11-06 16:00:00,helpdesk
TKT0130,CUST0182,AGT003,WEST,BILLING,urgent,open,2024-06-29 22:00:00,2024-06-29 23:08:00,2024-07-02 16:00:00,helpdesk
TKT0131,CUST0214,AGT010,NORTHEAST,ACCOUNT,low,resolved,2023-03-21 10:00:00,2023-03-21 12:37:00,2023-03-23 18:00:00,crm
TKT0132,CUST0055,AGT008,WEST,SHIPPING,urgent,pending,2024-09-24 14:00:00,2024-09-24 15:42:00,2024-09-25 03:00:00,crm
TKT0133,CUST0087,AGT003,SOUTHWEST,BILLING,medium,resolved,2024-02-10 09:00:00,2024-02-10 10:36:00,2024-02-11 15:00:00,helpdesk
TKT0134,CUST0102,AGT006,SOUTHWEST,TECHNICAL,low,open,2024-10-22 04:00:00,2024-10-22 05:10:00,2024-10-22 19:00:00,helpdesk
TKT0135,CUST0290,AGT021,northeast,SHIPPING,high,pending,2024-04-20 18:00:00,2024-04-20 20:38:00,2024-04-23 05:00:00,helpdesk
TKT0136,CUST0156,AGT026,MIDWEST,SHIPPING,low,resolved,2023-06-04 14:00:00,2023-06-04 14:27:00,2023-06-07 04:00:00,crm
TKT0137,CUST0147,AGT003,northeast,BILLING,urgent,resolved,2023-11-14 14:00:00,2023-11-14 16:05:00,,crm
TKT0138,CUST0244,AGT017,SOUTHEAST,BILLING,urgent,open,2024-04-05 18:00:00,2024-04-05 20:56:00,2024-04-06 20:00:00,helpdesk
TKT0139,CUST0225,AGT015,SOUTHWEST,SHIPPING,medium,resolved,2023-03-28 16:00:00,2023-03-28 18:55:00,,helpdesk
TKT0140,CUST0027,AGT026,northeast,RETURNS,low,resolved,2023-10-17 12:00:00,2023-10-17 13:54:00,2023-10-19 09:00:00,crm
TKT0141,CUST0077,AGT011,NORTHEAST,SHIPPING,medium,resolved,2024-07-25 21:00:00,2024-07-25 22:48:00,2024-07-27 11:00:00,helpdesk
TKT0142,CUST0044,AGT010,SOUTHWEST,ACCOUNT,high,open,2024-11-02 22:00:00,2024-11-03 00:59:00,2024-11-05 02:00:00,crm
TKT0143,CUST0186,AGT010,SOUTHEAST,TECHNICAL,high,resolved,2024-10-23 21:00:00,2024-10-23 22:58:00,2024-10-26 16:00:00,crm
TKT0144,CUST0052,AGT017,southeast,SHIPPING,low,pending,2023-08-20 04:00:00,2023-08-20 04:49:00,2023-08-20 15:00:00,helpdesk
TKT0145,CUST0093,AGT027,northeast,SHIPPING,medium,pending,2024-09-24 04:00:00,2024-09-24 06:42:00,2024-09-26 06:00:00,helpdesk
TKT0146,CUST0228,AGT020,MIDWEST,ACCOUNT,medium,pending,2023-02-14 13:00:00,2023-02-14 14:43:00,2023-02-18 05:00:00,crm
TKT0147,CUST0293,AGT015,WEST,RETURNS,urgent,pending,2023-11-13 15:00:00,2023-11-13 15:59:00,2023-11-15 16:00:00,helpdesk
TKT0148,CUST0027,AGT021,WEST,RETURNS,low,pending,2023-06-15 06:00:00,2023-06-15 08:44:00,2023-06-16 01:00:00,crm
TKT0149,CUST0263,AGT005,southeast,ACCOUNT,low,open,2023-10-19 02:00:00,2023-10-19 02:51:00,2023-10-20 14:00:00,helpdesk
TKT0150,CUST0192,AGT008,WEST,BILLING,high,open,2023-12-24 00:00:00,2023-12-24 01:56:00,2023-12-24 08:00:00,crm
TKT0151,CUST0071,AGT002,MIDWEST,ACCOUNT,medium,pending,2023-11-23 03:00:00,2023-11-23 05:56:00,2023-11-24 23:00:00,helpdesk
TKT0152,CUST0111,AGT027,SOUTHEAST,SHIPPING,urgent,open,2024-04-04 19:00:00,2024-04-04 19:11:00,,helpdesk
TKT0153,CUST0235,AGT003,NORTHEAST,ACCOUNT,low,pending,2023-09-01 09:00:00,2023-09-01 09:41:00,2023-09-01 17:00:00,crm
TKT0154,CUST0124,AGT019,WEST,TECHNICAL,low,pending,2023-05-28 09:00:00,2023-05-28 10:59:00,2023-05-28 11:00:00,helpdesk
TKT0155,CUST0260,AGT018,NORTHEAST,ACCOUNT,urgent,open,2023-03-11 16:00:00,2023-03-11 18:29:00,2023-03-14 10:00:00,helpdesk
TKT0156,CUST0177,AGT008,northeast,BILLING,high,open,2024-01-18 08:00:00,2024-01-18 08:14:00,2024-01-20 07:00:00,crm
TKT0157,CUST0238,AGT023,WEST,TECHNICAL,medium,open,2023-12-27 17:00:00,2023-12-27 18:36:00,2023-12-31 05:00:00,helpdesk
TKT0158,CUST0022,AGT011,MIDWEST,SHIPPING,urgent,pending,2023-02-07 09:00:00,2023-02-07 10:01:00,2023-02-07 16:00:00,helpdesk
TKT0159,CUST0025,AGT028,northeast,RETURNS,high,open,2023-09-17 01:00:00,2023-09-17 03:55:00,2023-09-18 03:00:00,helpdesk
TKT0160,CUST0096,AGT016,northeast,ACCOUNT,high,pending,2024-03-23 12:00:00,2024-03-23 14:02:00,2024-03-25 15:00:00,helpdesk
TKT0161,CUST0093,AGT018,MIDWEST,RETURNS,low,open,2023-03-26 23:00:00,2023-03-27 00:58:00,2023-03-27 11:00:00,helpdesk
TKT0162,CUST0219,AGT006,northeast,ACCOUNT,high,resolved,2024-11-07 09:00:00,2024-11-07 10:28:00,2024-11-09 20:00:00,crm
TKT0163,CUST0030,AGT003,northeast,ACCOUNT,high,pending,2023-12-28 19:00:00,2023-12-28 21:01:00,2023-12-30 08:00:00,crm
TKT0164,CUST0018,AGT005,NORTHEAST,TECHNICAL,high,resolved,2023-02-01 04:00:00,2023-02-01 06:45:00,2023-02-04 20:00:00,helpdesk
TKT0165,CUST0190,AGT012,WEST,BILLING,medium,pending,2024-08-03 01:00:00,2024-08-03 03:44:00,2024-08-03 22:00:00,helpdesk
TKT0166,CUST0059,AGT001,northeast,TECHNICAL,urgent,pending,2024-02-12 10:00:00,2024-02-12 12:56:00,2024-02-13 23:00:00,helpdesk
TKT0167,CUST0110,AGT020,MIDWEST,ACCOUNT,medium,open,2024-07-29 03:00:00,2024-07-29 04:17:00,2024-07-30 14:00:00,crm
TKT0168,CUST0045,AGT026,northeast,RETURNS,high,pending,2023-03-17 14:00:00,2023-03-17 14:54:00,2023-03-21 11:00:00,crm
TKT0169,CUST0090,AGT026,MIDWEST,SHIPPING,medium,open,2024-07-17 17:00:00,2024-07-17 18:24:00,2024-07-19 09:00:00,crm
TKT0170,CUST0294,AGT012,WEST,SHIPPING,medium,pending,2023-05-23 07:00:00,2023-05-23 09:16:00,2023-05-23 12:00:00,crm
TKT0171,CUST0270,AGT014,southeast,ACCOUNT,low,open,2023-03-09 09:00:00,2023-03-09 10:51:00,2023-03-13 06:00:00,helpdesk
TKT0172,CUST0177,AGT005,southeast,SHIPPING,medium,open,2024-10-19 02:00:00,2024-10-19 04:05:00,2024-10-21 15:00:00,helpdesk
TKT0173,CUST0085,AGT006,MIDWEST,TECHNICAL,high,pending,2024-05-29 01:00:00,2024-05-29 01:41:00,2024-05-31 21:00:00,helpdesk
TKT0174,CUST0141,AGT005,northeast,RETURNS,low,pending,2023-03-22 08:00:00,2023-03-22 09:00:00,2023-03-25 19:00:00,crm
TKT0175,CUST0173,AGT027,SOUTHWEST,BILLING,low,open,2024-08-29 18:00:00,2024-08-29 18:49:00,2024-08-30 17:00:00,crm
TKT0176,CUST0293,AGT014,SOUTHWEST,BILLING,urgent,pending,2024-10-18 18:00:00,2024-10-18 19:17:00,2024-10-22 07:00:00,helpdesk
TKT0177,CUST0208,AGT010,WEST,BILLING,low,open,2024-10-19 09:00:00,2024-10-19 11:13:00,2024-10-20 18:00:00,helpdesk
