ticket_id,escalated_at,reason
TKT0914,2023-04-16 00:00:00,SLA breach
TKT0797,2023-08-18 00:00:00,SLA breach
TKT0367,2023-01-11 00:00:00,SLA breach
TKT0192,2023-04-18 00:00:00,Customer request
TKT0246,2024-12-05 00:00:00,Complex issue
TKT0669,2024-03-22 00:00:00,SLA breach
TKT0228,2023-06-24 00:00:00,SLA breach
TKT0305,2023-07-15 00:00:00,Complex issue
TKT0199,2024-01-13 00:00:00,Complex issue
TKT0549,2023-01-06 00:00:00,Complex issue
TKT0954,2023-02-23 00:00:00,Customer request
TKT0252,2023-02-14 00:00:00,SLA breach
TKT0744,2023-02-19 00:00:00,Customer request
TKT0799,2023-03-18 00:00:00,Customer request
TKT0827,2023-12-04 00:00:00,Complex issue
TKT0805,2024-09-19 00:00:00,Customer request
TKT0388,2023-10-04 00:00:00,Complex issue
TKT0895,2023-06-24 00:00:00,SLA breach
TKT0907,2024-08-20 00:00:00,Customer request
TKT0676,2023-05-03 00:00:00,SLA breach
TKT0935,2023-11-23 00:00:00,SLA breach
TKT0282,2024-08-21 00:00:00,Customer request
TKT0085,2024-10-14 00:00:00,Customer request
TKT0148,2024-11-15 00:00:00,SLA breach
TKT0908,2024-06-18 00:00:00,Complex issue
TKT0024,2023-09-04 00:00:00,Complex issue
TKT0654,2024-05-04 00:00:00,Complex issue
TKT0594,2024-05-16 00:00:00,Customer request
TKT0106,2023-11-26 00:00:00,Complex issue
