ticket_id,status,updated_at,source
TKT0162,resolved,2024-11-07 12:00:00,crm
TKT0295,pending,2023-07-03 06:00:00,crm
TKT0077,pending,2023-10-26 05:00:00,crm
TKT0548,pending,2023-02-27 19:00:00,crm
TKT0590,open,2024-12-02 15:00:00,crm
TKT0248,pending,2023-10-15 13:00:00,crm
TKT0992,open,2024-07-03 01:00:00,crm
TKT0531,open,2024-02-07 18:00:00,crm
TKT0626,open,2024-12-02 06:00:00,crm
TKT0998,pending,2024-07-20 23:00:00,crm
TKT0320,open,2024-08-23 04:00:00,crm
TKT0409,open,2023-10-25 01:00:00,crm
TKT0995,resolved,2023-07-12 17:00:00,crm
TKT0059,resolved,2023-07-24 04:00:00,crm
TKT0560,pending,2023-04-10 15:00:00,crm
TKT0715,open,2023-06-02 03:00:00,crm
TKT0914,pending,2023-11-09 22:00:00,crm
TKT0114,pending,2023-05-15 04:00:00,crm
TKT0597,pending,2024-02-05 20:00:00,crm
TKT0483,pending,2024-12-05 23:00:00,crm
TKT0270,pending,2024-08-06 16:00:00,crm
TKT0669,resolved,2023-05-06 08:00:00,crm
TKT0031,pending,2024-03-24 20:00:00,crm
TKT0034,pending,2023-10-11 02:00:00,crm
TKT0347,open,2023-09-23 04:00:00,crm
TKT0432,pending,2023-07-27 19:00:00,crm
TKT0268,open,2024-10-31 08:00:00,crm
TKT0206,pending,2023-08-13 09:00:00,crm
TKT0343,open,2024-09-11 23:00:00,crm
TKT0910,resolved,2024-12-18 21:00:00,crm
TKT0784,open,2023-12-16 11:00:00,crm
TKT0061,pending,2023-11-16 20:00:00,crm
TKT0143,resolved,2024-10-23 22:00:00,crm
TKT0210,open,2024-02-10 11:00:00,crm
TKT0561,resolved,2024-01-08 17:00:00,crm
TKT0837,open,2024-01-13 06:00:00,crm
TKT0752,resolved,2023-02-08 01:00:00,crm
TKT0338,open,2023-10-10 17:00:00,crm
TKT0776,resolved,2023-11-24 05:00:00,crm
TKT0680,pending,2024-08-04 21:00:00,crm
TKT0900,pending,2023-01-06 21:00:00,crm
TKT0064,pending,2024-06-18 23:00:00,crm
TKT0242,resolved,2023-04-16 05:00:00,crm
TKT0506,resolved,2023-10-24 16:00:00,crm
TKT0075,open,2024-04-06 18:00:00,crm
TKT0825,resolved,2023-07-12 18:00:00,crm
TKT0578,resolved,2023-12-18 22:00:00,crm
TKT0625,resolved,2024-12-22 01:00:00,crm
TKT0720,open,2024-12-26 00:00:00,crm
TKT0856,open,2023-06-27 20:00:00,crm
TKT0924,open,2024-07-03 12:00:00,crm
TKT0827,resolved,2024-08-04 05:00:00,crm
TKT0037,open,2023-08-31 07:00:00,crm
TKT0355,pending,2023-06-24 23:00:00,crm
TKT0983,resolved,2024-03-27 12:00:00,crm
TKT0427,open,2024-02-29 13:00:00,crm
TKT0613,open,2023-10-19 09:00:00,crm
TKT0758,resolved,2024-10-28 04:00:00,crm
TKT0628,resolved,2023-09-02 19:00:00,crm
TKT0083,resolved,2024-12-11 20:00:00,crm
TKT0565,open,2024-03-21 21:00:00,crm
TKT0491,open,2023-04-20 18:00:00,crm
TKT0133,resolved,2024-02-10 14:00:00,crm
TKT0278,pending,2024-11-12 00:00:00,crm
TKT0741,resolved,2024-12-29 13:00:00,crm
TKT0043,pending,2024-11-13 18:00:00,crm
TKT0107,open,2024-09-16 10:00:00,crm
TKT0902,pending,2024-06-15 12:00:00,crm
TKT0509,pending,2024-03-09 14:00:00,crm
TKT0520,resolved,2024-09-11 13:00:00,crm
TKT0231,open,2024-06-20 09:00:00,crm
TKT0666,pending,2024-12-04 15:00:00,crm
TKT0359,resolved,2023-05-27 11:00:00,crm
TKT0442,open,2024-12-29 22:00:00,crm
TKT0490,open,2024-10-18 15:00:00,crm
TKT0311,open,2023-06-02 04:00:00,crm
TKT0801,pending,2024-08-24 09:00:00,crm
TKT0871,pending,2024-10-13 07:00:00,crm
TKT0234,pending,2024-08-02 07:00:00,crm
TKT0022,open,2023-03-04 16:00:00,crm
TKT0057,open,2024-01-24 11:00:00,crm
TKT0027,open,2023-02-28 20:00:00,crm
TKT0793,resolved,2024-11-27 17:00:00,crm
TKT0878,pending,2023-12-23 17:00:00,crm
TKT0831,open,2024-02-25 13:00:00,crm
TKT0201,pending,2023-10-07 09:00:00,crm
TKT0951,open,2024-10-22 16:00:00,crm
TKT0623,pending,2024-01-03 14:00:00,crm
TKT0389,resolved,2024-03-04 21:00:00,crm
TKT0699,pending,2023-03-24 19:00:00,crm
TKT0701,open,2024-10-07 15:00:00,crm
TKT0756,open,2024-06-07 22:00:00,crm
TKT0019,open,2023-03-07 11:00:00,crm
TKT0566,resolved,2023-11-30 20:00:00,crm
TKT0494,pending,2023-11-08 07:00:00,crm
TKT0054,open,2023-12-27 14:00:00,crm
TKT0397,open,2024-08-25 20:00:00,crm
TKT0785,pending,2024-11-19 06:00:00,crm
TKT0387,pending,2024-11-05 22:00:00,crm
TKT0713,resolved,2023-11-17 03:00:00,crm
TKT0129,open,2023-11-05 09:00:00,crm
TKT0441,resolved,2024-09-06 16:00:00,crm
TKT0719,open,2024-11-29 00:00:00,crm
TKT0987,pending,2023-11-21 14:00:00,crm
TKT0563,resolved,2024-02-21 00:00:00,crm
TKT0991,resolved,2023-07-08 03:00:00,crm
TKT0119,resolved,2023-08-22 15:00:00,crm
TKT0449,open,2024-11-25 00:00:00,crm
TKT0975,open,2023-11-13 05:00:00,crm
TKT0631,resolved,2023-10-23 03:00:00,crm
TKT0377,pending,2024-11-01 12:00:00,crm
TKT0997,resolved,2023-12-27 18:00:00,crm
TKT0199,open,2024-07-02 00:00:00,crm
TKT0352,open,2023-10-11 10:00:00,crm
TKT0448,resolved,2023-09-07 15:00:00,crm
TKT0060,open,2024-01-13 09:00:00,crm
TKT0244,resolved,2023-10-02 20:00:00,crm
TKT0238,resolved,2024-09-11 22:00:00,crm
TKT0095,open,2023-08-29 21:00:00,crm
TKT0603,open,2024-08-16 12:00:00,crm
TKT0011,open,2024-08-20 14:00:00,crm
TKT0233,resolved,2024-01-24 13:00:00,crm
TKT0423,pending,2024-02-02 18:00:00,crm
TKT0766,pending,2023-05-27 07:00:00,crm
TKT0771,resolved,2024-10-21 18:00:00,crm
TKT0828,open,2024-02-05 05:00:00,crm
TKT0813,open,2023-05-14 11:00:00,crm
TKT0550,open,2023-07-11 20:00:00,crm
TKT0582,resolved,2023-01-16 04:00:00,crm
TKT0047,pending,2024-04-11 15:00:00,crm
TKT0822,resolved,2023-07-16 01:00:00,crm
TKT0016,open,2024-05-15 01:00:00,crm
TKT0738,pending,2023-08-26 23:00:00,crm
TKT0256,resolved,2023-04-10 19:00:00,crm
TKT0941,pending,2024-05-22 01:00:00,crm
TKT0079,pending,2024-09-02 00:00:00,crm
TKT0820,resolved,2024-01-27 05:00:00,crm
TKT0130,open,2024-06-29 23:00:00,crm
TKT0988,resolved,2024-04-26 06:00:00,crm
TKT0185,pending,2024-02-08 13:00:00,crm
TKT0290,open,2023-03-30 16:00:00,crm
TKT0045,resolved,2024-04-21 19:00:00,crm
TKT0322,pending,2023-07-06 22:00:00,crm
TKT0882,pending,2023-04-04 02:00:00,crm
TKT0617,open,2024-10-09 12:00:00,crm
TKT0671,open,2023-01-31 07:00:00,crm
TKT0251,open,2024-07-01 19:00:00,crm
TKT0300,open,2024-06-26 09:00:00,crm
TKT0892,resolved,2024-08-14 05:00:00,crm
TKT0621,resolved,2024-08-10 03:00:00,crm
TKT0408,pending,2024-07-01 05:00:00,crm
TKT0955,open,2024-07-11 12:00:00,crm
TKT0674,resolved,2024-04-05 13:00:00,crm
TKT0126,pending,2024-01-14 13:00:00,crm
